epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.003,1.15598,3.73126,1.34422,0.2613,0.32454,0.19555,0.16357,0.81311,2.34207,1.03186,0.00017454,0.00017454,0.00017454
2,45.224,0.80278,2.46414,1.04422,0.23666,0.40896,0.27835,0.22349,0.79205,1.88958,1.00099,0.00031648,0.00031648,0.00031648
3,62.489,0.74846,2.11158,1.01874,0.34003,0.46892,0.37129,0.30237,0.72808,1.61632,0.96028,0.000343843,0.000343843,0.000343843
4,80.0675,0.68999,1.95028,0.99798,0.42543,0.43132,0.41103,0.33522,0.71083,1.53091,0.96043,0.000181901,0.000181901,0.000181901
5,98.1805,0.64497,1.84092,0.97628,0.41606,0.48735,0.45422,0.37637,0.66478,1.44299,0.93095,5.04664e-05,5.04664e-05,5.04664e-05
